Event ID,Date,Year,Month,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-00001,2023-01-01,2023,January,52,Plant Munich,Line M1,MC-0015,Stamping Press,Afternoon (14-22),OP-0033,Tech-006,Mechanical Failure,Gear Wear,Unplanned,Supplier Quality Issue,88,1.47,738.32,8.39,128,Metal Fittings,Resolved,2.21,Predictive
DT-00002,2023-01-01,2023,January,52,Plant Katowice,Line K1,MC-0031,Robotic Welder,Night (22-06),OP-0037,Tech-018,Electrical Failure,Power Supply Failure,Unplanned,Human Error,163,2.72,2047.28,12.56,305,Packaging Units,Resolved,4.94,Corrective
DT-00003,2023-01-01,2023,January,52,Plant Lyon,Line L2,MC-0039,Industrial Oven,Night (22-06),OP-0016,Tech-024,Changeover,Product Changeover,Planned,Human Error,48,0.8,318.24,6.63,75,Machine Tools,Resolved,1.9,Corrective
DT-00004,2023-01-01,2023,January,52,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Afternoon (14-22),OP-0103,Tech-010,Material Shortage,Component Stockout,Unplanned,Design Flaw,211,3.52,2169.08,10.28,342,Metal Fittings,Resolved,7.23,Predictive
DT-00005,2023-01-01,2023,January,52,Plant Munich,Line M1,MC-0011,Industrial Oven,Night (22-06),OP-0079,Tech-005,Changeover,Mold Change,Planned,Aging Equipment,49,0.82,334.67,6.83,106,Metal Fittings,Resolved,1.29,Corrective
DT-00006,2023-01-01,2023,January,52,Plant Lyon,Line L3,MC-0046,Hydraulic Press,Morning (06-14),OP-0093,Tech-024,Electrical Failure,Wiring Fault,Unplanned,Supplier Quality Issue,26,0.43,234.78,9.03,42,Machine Tools,Resolved,1.74,Corrective
DT-00007,2023-01-01,2023,January,52,Plant Lyon,Line L3,MC-0045,Packaging Machine,Afternoon (14-22),OP-0086,Tech-020,Preventive Maintenance,Lubrication Service,Planned,Inadequate Training,85,1.42,325.55,3.83,128,Automotive Parts,Resolved,0.2,Preventive
DT-00008,2023-01-01,2023,January,52,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Night (22-06),OP-0055,Tech-019,Operator Error,Manual Handling Error,Unplanned,Process Variation,21,0.35,85.26,4.06,31,Plastic Components,Pending,,Corrective
DT-00009,2023-01-02,2023,January,1,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Afternoon (14-22),OP-0111,Tech-002,Mechanical Failure,Gear Wear,Unplanned,Poor Spare Parts Availability,116,1.93,714.56,6.16,118,Electronic Housings,Resolved,1.4,Predictive
DT-00010,2023-01-02,2023,January,1,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Night (22-06),OP-0007,Tech-023,Preventive Maintenance,Filter Replacement,Planned,Supplier Quality Issue,28,0.47,252.56,9.02,52,Automotive Parts,Resolved,2.08,Preventive
DT-00011,2023-01-02,2023,January,1,Plant Munich,Line M3,MC-0022,Stamping Press,Morning (06-14),OP-0030,Tech-020,Mechanical Failure,Hydraulic Leak,Unplanned,Design Flaw,100,1.67,920.0,9.2,159,Metal Fittings,Resolved,3.37,Predictive
DT-00012,2023-01-02,2023,January,1,Plant Munich,Line M2,MC-0017,Conveyor System,Afternoon (14-22),OP-0110,Tech-019,Preventive Maintenance,Scheduled Inspection,Planned,Design Flaw,22,0.37,52.14,2.37,37,Packaging Units,Resolved,1.73,Preventive
